latitude,longitude,distances,ind,fotograma,section,classes,ind2,scores,boxes,class_id,area,center,height,width,total_area,fail_id_section,class_id_readable
,,,45,64,,Piel de cocodrilo,46,0.4516529440879822,"[0.0875275582075119, 0.7059012651443481, 0.24621057510375977, 0.9194432497024536]",D20,7807.2160535866715,"(520.1102447509766, 60.0728639960289)",76.87511444091797,101.55713081359863,230400,6,Piel de cocodrilo
,,,46,65,,Grieta e Intervalo Lineal Transversal,48,0.20405475795269012,"[0.33472469449043274, 0.7167211174964905, 0.6062251329421997, 0.7818673253059387]",D10,4075.1364058525724,"(479.54830169677734, 169.37096893787384)",23.452634811401367,173.76028060913086,230400,343,Grieta e Intervalo Lineal Transversal
,,,47,66,,Grieta Vertical,51,0.2173600196838379,"[0.07736952602863312, 0.8370817303657532, 0.20047740638256073, 0.916990339756012]",D00,2266.5322423445105,"(561.3030624389648, 50.01244783401489)",28.767099380493164,78.78904342651367,230400,186,Grieta Vertical
,,,47,66,,Grieta e Intervalo Lineal Transversal,50,0.2421766072511673,"[0.07823343575000763, 0.8361053466796875, 0.2016880065202713, 0.9195187091827393]",D10,2372.6041031390196,"(561.7996978759766, 50.38585960865021)",30.028810501098633,79.01092529296875,230400,343,Grieta e Intervalo Lineal Transversal
,,,47,66,,Desenfoque de linea blanca,49,0.48701012134552,"[0.5638099908828735, 0.7121678590774536, 0.703474760055542, 0.9155263304710388]",D44,6543.824017879706,"(520.8621406555176, 228.1112551689148)",73.20904970169067,89.38545227050781,230400,41,Desenfoque de linea blanca
,,,48,67,,Grieta Vertical,52,0.5949847102165222,"[0.5887349247932434, 0.7562827467918396, 0.6861141324043274, 0.8970416784286499]",D00,3158.0912394951156,"(529.0638160705566, 229.47283029556274)",50.67321538925171,62.32269287109375,230400,186,Grieta Vertical
,,,49,68,,Desenfoque de linea blanca,53,0.4926440417766571,"[0.5344330668449402, 0.7120895385742188, 0.6716634035110474, 0.9123150110244751]",D44,6330.702872097572,"(519.809455871582, 217.09736466407776)",72.08117008209229,87.8274154663086,230400,42,Desenfoque de linea blanca
,,,50,73,,Grieta Vertical,55,0.485537052154541,"[0.5891056060791016, 0.7666823267936707, 0.6634824872016907, 0.895776629447937]",D00,2212.215921128427,"(531.9868659973145, 225.4658567905426)",46.47394895553589,47.60120391845703,230400,187,Grieta Vertical
,,,50,73,,Desenfoque de linea blanca,54,0.5138978362083435,"[0.5068564414978027, 0.6476143598556519, 0.5839093923568726, 0.7878872156143188]",D44,2490.263991160464,"(459.3605041503906, 196.33785009384155)",50.49822807312012,49.31388854980469,230400,43,Desenfoque de linea blanca
,,,51,75,,Desenfoque de linea blanca,56,0.5468857884407043,"[0.55949467420578, 0.7186945676803589, 0.6906030774116516, 0.9187345504760742]",D44,6042.68299507421,"(523.9773178100586, 225.0175952911377)",72.01439380645752,83.90937805175781,230400,44,Desenfoque de linea blanca
