latitude,longitude,distances,ind,fotograma,section,classes,ind2,scores,boxes,class_id,area,center,height,width,total_area,fail_id_section,class_id_readable
,,,368,918,,Grieta Vertical,450,0.2148599773645401,"[0.24498715996742249, 0.6999050378799438, 0.3229479193687439, 0.8166680335998535]",D00,2097.315490474921,"(485.30338287353516, 102.22831428050995)",42.03467845916748,49.8948860168457,230400,245,Grieta Vertical
,,,368,918,,Grieta e Intervalo Lineal Transversal,449,0.22054968774318695,"[0.08428509533405304, 0.77885502576828, 0.24734541773796082, 0.8339158892631531]",D10,2068.5869921229823,"(516.0866928100586, 59.693492352962494)",19.821910858154297,104.35860633850098,230400,357,Grieta e Intervalo Lineal Transversal
,,,368,918,,Grieta e Intervalo Lineal Transversal,451,0.207547128200531,"[0.14345988631248474, 0.8007329106330872, 0.7302805781364441, 0.9332219362258911]",D10,17912.97830187682,"(554.865550994873, 157.2732836008072)",47.696049213409424,375.565242767334,230400,357,Grieta e Intervalo Lineal Transversal
,,,369,919,,Grieta Vertical,452,0.4914056956768036,"[0.18871437013149261, 0.7893335819244385, 0.2935720980167389, 0.9394687414169312]",D00,3627.1484236965534,"(553.2167434692383, 86.81156426668167)",54.04865741729736,67.10894584655762,230400,245,Grieta Vertical
,,,369,919,,Grieta Vertical,453,0.2670176327228546,"[0.4530557692050934, 0.6197195053100586, 0.5213009119033813, 0.7383460402488708]",D00,1865.2457790034987,"(434.5809745788574, 175.38420259952545)",42.70555257797241,43.6768913269043,230400,245,Grieta Vertical
,,,369,919,,Grieta Vertical,454,0.23915676772594452,"[0.3566005825996399, 0.7915934920310974, 0.4034479558467865, 0.8923803567886353]",D00,1087.8566104410766,"(538.8716316223145, 136.80873692035675)",36.28327131271362,29.982318878173828,230400,245,Grieta Vertical
,,,370,920,,Grieta Vertical,455,0.5336852073669434,"[0.47549954056739807, 0.6293513178825378, 0.5493513345718384, 0.7851014733314514]",D00,2650.159502524275,"(452.62489318847656, 184.47315752506256)",56.07005596160889,47.2651481628418,230400,245,Grieta Vertical
,,,371,921,,Grieta Vertical,456,0.5611683130264282,"[0.5105706453323364, 0.6391753554344177, 0.5846244096755981, 0.8517093062400818]",D00,3626.251570461318,"(477.08309173583984, 197.13510990142822)",76.51222229003906,47.3944091796875,230400,245,Grieta Vertical
,,,371,921,,Grieta Vertical,457,0.2757083475589752,"[0.6714478731155396, 0.6929303407669067, 0.806706428527832, 0.8187590837478638]",D00,3921.272986740223,"(483.74061584472656, 266.0677742958069)",45.29834747314453,86.56547546386719,230400,245,Grieta Vertical
,,,372,922,,Grieta Vertical,458,0.5410481095314026,"[0.5444291830062866, 0.6491543054580688, 0.6182848215103149, 0.935030460357666]",D00,4864.565595614113,"(506.93912506103516, 209.28852081298828)",102.91541576385498,47.267608642578125,230400,245,Grieta Vertical
,,,373,923,,Grieta Vertical,459,0.55458664894104,"[0.5839167833328247, 0.6501547694206238, 0.6475083231925964, 0.9233152866363525]",D00,4002.2088004546276,"(503.5104179382324, 221.6565191745758)",98.33778619766235,40.698585510253906,230400,245,Grieta Vertical
,,,373,923,,Piel de cocodrilo,460,0.2865076959133148,"[0.0710221529006958, 0.701610803604126, 0.30329540371894836, 0.9359654784202576]",D20,12541.66782658499,"(524.0244102478027, 67.37716019153595)",84.36768293380737,148.65488052368164,230400,26,Piel de cocodrilo
,,,374,924,,Grieta Vertical,461,0.599436342716217,"[0.6017745733261108, 0.6616579294204712, 0.6657468676567078, 0.9243453741073608]",D00,3871.8071489576687,"(507.52105712890625, 228.15385937690735)",94.56748008728027,40.94226837158203,230400,245,Grieta Vertical
,,,375,925,,Grieta Vertical,462,0.49146610498428345,"[0.6350044012069702, 0.6708285808563232, 0.6904106140136719, 0.9140024781227112]",D00,3104.258619104985,"(507.145938873291, 238.57470273971558)",87.54260301589966,35.45997619628906,230400,245,Grieta Vertical
,,,375,925,,Grieta Vertical,463,0.2684502601623535,"[0.14525333046913147, 0.7388966679573059, 0.2696038782596588, 0.9317725300788879]",D00,5525.964083033614,"(534.614143371582, 74.67429757118225)",69.43531036376953,79.5843505859375,230400,245,Grieta Vertical
,,,376,926,,Grieta Vertical,464,0.4899658262729645,"[0.6732438206672668, 0.6838375329971313, 0.7345434427261353, 0.9019541144371033]",D00,3080.5549072226313,"(507.4533271789551, 253.40170741081238)",78.52196931838989,39.23175811767578,230400,245,Grieta Vertical
,,,376,926,,Grieta Vertical,465,0.32573744654655457,"[0.15431752800941467, 0.7684551477432251, 0.2753753066062927, 0.9365744590759277]",D00,4689.135445057673,"(545.6094741821289, 77.34471023082733)",60.52295207977295,77.47697830200195,230400,245,Grieta Vertical
,,,377,927,,Grieta Vertical,466,0.40370792150497437,"[0.7402850389480591, 0.7143771648406982, 0.8101769685745239, 0.8894602656364441]",D00,2819.3807830117294,"(513.2279777526855, 279.08316135406494)",63.029916286468506,44.7308349609375,230400,245,Grieta Vertical
,,,378,928,,Piel de cocodrilo,467,0.21521972119808197,"[0.06908120959997177, 0.6343218684196472, 0.7772944569587708, 0.8443476557731628]",D20,34270.39754282232,"(473.1742477416992, 152.34761998057365)",75.60928344726562,453.25647830963135,230400,27,Piel de cocodrilo
,,,379,929,,Grieta Vertical,468,0.20296664535999298,"[0.5844225883483887, 0.6475599408149719, 0.634001612663269, 0.7890841960906982]",D00,1616.6325872933157,"(459.72612380981445, 219.3163561820984)",50.948731899261475,31.730575561523438,230400,246,Grieta Vertical
,,,380,935,,Grieta Vertical,469,0.349999338388443,"[0.3544018864631653, 0.6265751123428345, 0.5506755113601685, 0.927528977394104]",D00,13609.568107094674,"(497.3133087158203, 162.91393160820007)",108.34339141845703,125.61511993408203,230400,247,Grieta Vertical
,,,381,936,,Grieta Vertical,470,0.4941132962703705,"[0.4281405508518219, 0.662537157535553, 0.5885897874832153, 0.9447131752967834]",D00,10431.343099117657,"(514.3201065063477, 183.0114609003067)",101.58336639404297,102.6875114440918,230400,247,Grieta Vertical
,,,382,937,,Grieta Vertical,471,0.3676902651786804,"[0.46032267808914185, 0.65625, 0.5861531496047974, 0.9299398064613342]",D00,7934.6344080518065,"(507.58073806762695, 188.36564898490906)",98.52833032608032,80.53150177001953,230400,247,Grieta Vertical
,,,383,938,,Grieta Vertical,472,0.24224619567394257,"[0.5248461961746216, 0.6284123063087463, 0.6123637557029724, 0.7511207461357117]",D00,2474.2985903279987,"(441.45057678222656, 204.69779133796692)",44.17503833770752,56.01123809814453,230400,247,Grieta Vertical
,,,384,939,,Grieta Vertical,473,0.25226718187332153,"[0.5878656506538391, 0.7018982768058777, 0.7198130488395691, 0.8951895236968994]",D00,5876.185448297292,"(511.0680961608887, 235.38216590881348)",69.58484888076782,84.44633483886719,230400,247,Grieta Vertical
,,,385,940,,Grieta Vertical,474,0.29960331320762634,"[0.4564586579799652, 0.593226432800293, 0.5852624773979187, 0.9146726727485657]",D00,9539.367193238968,"(482.52771377563477, 187.5098043680191)",115.72064638137817,82.43444442749023,230400,247,Grieta Vertical
,,,385,940,,Grieta Vertical,475,0.21044844388961792,"[0.3842250406742096, 0.676668643951416, 0.43126368522644043, 0.8856172561645508]",D00,2264.52314870221,"(499.9314880371094, 146.787970662117)",75.22150039672852,30.104732513427734,230400,247,Grieta Vertical
,,,386,941,,Grieta Vertical,476,0.24940162897109985,"[0.4578935503959656, 0.590345025062561, 0.5750707387924194, 0.9126023054122925]",D00,8700.180952704613,"(480.9431457519531, 185.9335720539093)",116.01262092590332,74.99340057373047,230400,247,Grieta Vertical
,,,386,941,,Grieta Vertical,477,0.2110680192708969,"[0.11686906963586807, 0.72660893201828, 0.261086642742157, 0.9031680822372437]",D00,5866.65956834787,"(521.5286445617676, 68.03202822804451)",63.561294078826904,92.2992467880249,230400,247,Grieta Vertical
,,,387,942,,Grieta Vertical,478,0.34670290350914,"[0.46364670991897583, 0.6054752469062805, 0.5498626828193665, 0.8470404744148254]",D00,4798.4903674107045,"(464.8050308227539, 182.4316906929016)",86.96348190307617,55.17822265625,230400,247,Grieta Vertical
,,,388,943,,Grieta Vertical,479,0.23078316450119019,"[0.224823996424675, 0.7091174721717834, 0.3190476894378662, 0.9378975629806519]",D00,4966.618762115672,"(527.0448112487793, 97.89690345525742)",82.36083269119263,60.30316352844238,230400,247,Grieta Vertical
,,,389,945,,Grieta Vertical,480,0.23544614017009735,"[0.496573269367218, 0.7951023578643799, 0.5512836575508118, 0.9417991638183594]",D00,1849.1533514577895,"(555.8084869384766, 188.61424684524536)",52.81085014343262,35.0146484375,230400,248,Grieta Vertical
,,,390,948,,Grieta Vertical,481,0.28218016028404236,"[0.2974977493286133, 0.6034760475158691, 0.38721197843551636, 0.8043837547302246]",D00,4152.794129135145,"(450.51513671875, 123.24775099754333)",72.32677459716797,57.41710662841797,230400,249,Grieta Vertical
,,,391,949,,Grieta Vertical,482,0.3300154209136963,"[0.23403635621070862, 0.5693359971046448, 0.3997812271118164, 0.9447879195213318]",D00,14337.614686585312,"(484.5196533203125, 114.0871649980545)",135.16269207000732,106.07671737670898,230400,249,Grieta Vertical
,,,392,950,,Grieta Vertical,483,0.2672590911388397,"[0.174148291349411, 0.7391839027404785, 0.32191038131713867, 0.932252824306488]",D00,6572.9127993774,"(534.8597526550293, 89.29056107997894)",69.50481176376343,94.5677375793457,230400,249,Grieta Vertical
,,,392,950,,Grieta Vertical,484,0.255708247423172,"[0.2765098512172699, 0.6058976054191589, 0.38564005494117737, 0.7353874444961548]",D00,3255.8405802966263,"(429.2112159729004, 119.18698310852051)",46.616342067718506,69.84333038330078,230400,249,Grieta Vertical
,,,393,951,,Grieta Vertical,485,0.3409910798072815,"[0.1782369166612625, 0.6754710078239441, 0.35587215423583984, 0.915604293346405]",D00,9827.973094658955,"(509.1440963745117, 96.13963276147842)",86.44798278808594,113.68655204772949,230400,249,Grieta Vertical
,,,393,951,,Grieta Vertical,486,0.20602019131183624,"[0.5254822373390198, 0.604155957698822, 0.6607871651649475, 0.7723281979560852]",D00,5242.644364108855,"(440.4749298095703, 213.5284924507141)",60.542006492614746,86.59515380859375,230400,249,Grieta Vertical
,,,394,952,,Grieta Vertical,487,0.2835991680622101,"[0.5297133326530457, 0.6143187880516052, 0.745490550994873, 0.88642418384552]",D00,13527.739100209055,"(480.2377510070801, 229.53669905662537)",97.95794248580933,138.09741973876953,230400,249,Grieta Vertical
,,,394,952,,Grieta Vertical,488,0.20914125442504883,"[0.2967294156551361, 0.5699021816253662, 0.40402501821517944, 0.828953742980957]",D00,6403.989512394583,"(447.63389587402344, 126.1357980966568)",93.2585620880127,68.66918563842773,230400,249,Grieta Vertical
,,,395,953,,Grieta Vertical,489,0.508156418800354,"[0.19793163239955902, 0.6092522740364075, 0.357974112033844, 0.9105961918830872]",D00,11111.691533159319,"(486.3515090942383, 100.06303399801254)",108.48381042480469,102.42718696594238,230400,249,Grieta Vertical
,,,395,953,,Grieta Vertical,490,0.3747093081474304,"[0.5568293333053589, 0.6392372846603394, 0.750420093536377, 0.8884696364402771]",D00,11116.588136887913,"(488.86621475219727, 235.30489683151245)",89.72364664077759,123.89808654785156,230400,249,Grieta Vertical
,,,396,954,,Grieta Vertical,491,0.5868061184883118,"[0.5955678820610046, 0.6893268823623657, 0.7497663497924805, 0.8998186588287354]",D00,7478.210166034296,"(508.52657318115234, 242.16016173362732)",75.77703952789307,98.68701934814453,230400,249,Grieta Vertical
,,,396,954,,Grieta Vertical,492,0.30298399925231934,"[0.24297884106636047, 0.6473168134689331, 0.32946544885635376, 0.8527063727378845]",D00,4092.698017532939,"(480.00741958618164, 103.03997218608856)",73.94024133682251,55.3514289855957,230400,249,Grieta Vertical
,,,397,955,,Grieta Vertical,493,0.5529829263687134,"[0.18707162141799927, 0.6408161520957947, 0.29041367769241333, 0.9322106838226318]",D00,6938.106646065717,"(503.3685874938965, 85.94735383987427)",104.90203142166138,66.138916015625,230400,249,Grieta Vertical
,,,397,955,,Grieta Vertical,494,0.3414265215396881,"[0.6724737882614136, 0.6388684511184692, 0.7890555262565613, 0.7889905571937561]",D00,4032.3446870973385,"(456.9148826599121, 263.0752766132355)",54.04395818710327,74.61231231689453,230400,249,Grieta Vertical
,,,398,956,,Grieta Vertical,495,0.3419108986854553,"[0.5897890329360962, 0.6226227879524231, 0.7339583039283752, 0.7560972571372986]",D00,4433.568058014316,"(441.19041442871094, 238.27452063560486)",48.050808906555176,92.2683334350586,230400,249,Grieta Vertical
,,,399,957,,Grieta Vertical,496,0.2829381823539734,"[0.6394869089126587, 0.6666741967201233, 0.8255330920219421, 0.8385975360870361]",D00,7369.50092005236,"(481.686954498291, 263.70360016822815)",61.89240217208862,119.0695571899414,230400,249,Grieta Vertical
,,,400,959,,Grieta Vertical,497,0.2816433906555176,"[0.38744035363197327, 0.5289137363433838, 0.4371596872806549, 0.7494280338287354]",D00,2526.065033697523,"(409.0693664550781, 148.42800736427307)",79.38514709472656,31.82037353515625,230400,250,Grieta Vertical
,,,401,960,,Grieta Vertical,498,0.28081417083740234,"[0.36397168040275574, 0.5441755652427673, 0.43745097517967224, 0.9393278360366821]",D00,6689.781547184793,"(474.7210884094238, 144.25607800483704)",142.25481748580933,47.02674865722656,230400,250,Grieta Vertical
,,,402,961,,Grieta Vertical,499,0.24908651411533356,"[0.36845630407333374, 0.5521752834320068, 0.43183571100234985, 0.9406887292861938]",D00,5673.312410615836,"(477.7164840698242, 144.05256271362305)",139.86484050750732,40.56282043457031,230400,250,Grieta Vertical
,,,403,962,,Grieta Vertical,500,0.3033274710178375,"[0.3614327311515808, 0.5751605033874512, 0.4298110604286194, 0.9415149092674255]",D00,5771.681786270528,"(485.33613204956055, 142.42388248443604)",131.88758611679077,43.76213073730469,230400,250,Grieta Vertical
,,,404,963,,Grieta Vertical,501,0.3083249032497406,"[0.35584360361099243, 0.6107295751571655, 0.42121610045433044, 0.9447975158691406]",D00,5031.672284080287,"(497.76866912841797, 139.87074673175812)",120.26445865631104,41.83839797973633,230400,250,Grieta Vertical
,,,405,965,,Grieta Vertical,502,0.25269174575805664,"[0.31083565950393677, 0.7142496109008789, 0.38579702377319336, 0.9425890445709229]",D00,3943.6728109922115,"(530.1883697509766, 125.39388298988342)",82.20219612121582,47.97527313232422,230400,251,Grieta Vertical
,,,406,966,,Grieta Vertical,503,0.5221406817436218,"[0.15220078825950623, 0.600003719329834, 0.36526069045066833, 0.8334141969680786]",D00,11457.88727869367,"(458.69373321533203, 93.14306616783142)",84.02777194976807,136.35833740234375,230400,251,Grieta Vertical
,,,407,967,,Grieta Vertical,504,0.5397034883499146,"[0.1628023087978363, 0.6486899852752686, 0.33524829149246216, 0.9278881549835205]",D00,11092.97727172925,"(504.5050048828125, 89.64910805225372)",100.5113410949707,110.36542892456055,230400,251,Grieta Vertical
,,,408,968,,Grieta Vertical,505,0.22082075476646423,"[0.13213017582893372, 0.7174623012542725, 0.2897838354110718, 0.9236177206039429]",D00,7488.266412249413,"(525.1456069946289, 75.94452202320099)",74.21595096588135,100.89834213256836,230400,251,Grieta Vertical
,,,409,969,,Grieta Vertical,506,0.4524930715560913,"[0.5480839014053345, 0.6498743891716003, 0.6999006271362305, 0.8790528774261475]",D00,8016.336620873153,"(489.2567253112793, 224.6372151374817)",82.50425577163696,97.16270446777344,230400,251,Grieta Vertical
,,,409,969,,Grieta Vertical,507,0.2914254367351532,"[0.14650139212608337, 0.6092169284820557, 0.2634742259979248, 0.7301666140556335]",D00,3259.6594508043836,"(428.60273361206055, 73.79561126232147)",43.54188680648804,74.86261367797852,230400,251,Grieta Vertical
,,,409,969,,Grieta Vertical,508,0.2030937671661377,"[0.38293296098709106, 0.8225113153457642, 0.42584219574928284, 0.9477354288101196]",D00,1238.0016113347665,"(566.4789581298828, 145.5795282125473)",45.08068084716797,27.461910247802734,230400,251,Grieta Vertical
,,,410,970,,Grieta Vertical,509,0.25221723318099976,"[0.07653198391199112, 0.6143202185630798, 0.2627571225166321, 0.7988739013671875]",D00,7918.510500908213,"(452.22211837768555, 61.072039157152176)",66.43932580947876,119.18408870697021,230400,251,Grieta Vertical
,,,411,971,,Grieta Vertical,510,0.28876280784606934,"[0.09822521358728409, 0.6490681767463684, 0.23246827721595764, 0.7947664260864258]",D00,4506.38884379374,"(462.02707290649414, 59.52482834458351)",52.451369762420654,85.91556072235107,230400,251,Grieta Vertical
,,,412,973,,Grieta Vertical,511,0.5524174571037292,"[0.3211561143398285, 0.6182056069374084, 0.40430784225463867, 0.8476945757865906]",D00,4396.585950074314,"(469.0880584716797, 130.5835121870041)",82.61602878570557,53.217105865478516,230400,252,Grieta Vertical
,,,413,974,,Grieta Vertical,512,0.6396594643592834,"[0.2632368505001068, 0.6128023862838745, 0.38524681329727173, 0.9330060482025146]",D00,9001.275696739413,"(494.65869903564453, 116.72705948352814)",115.27331829071045,78.08637619018555,230400,252,Grieta Vertical
,,,413,974,,Grieta Vertical,513,0.5665534734725952,"[0.5268217325210571, 0.6712777614593506, 0.6506601572036743, 0.8597726821899414]",D00,5378.207395726349,"(489.93614196777344, 211.94674015045166)",67.8581714630127,79.256591796875,230400,252,Grieta Vertical
,,,414,975,,Grieta Vertical,514,0.20332995057106018,"[0.21781058609485626, 0.6532900333404541, 0.33292874693870544, 0.9061708450317383]",D00,6707.21447913993,"(499.02748107910156, 99.13307994604111)",91.0370922088623,73.67562294006348,230400,252,Grieta Vertical
,,,415,976,,Grieta Vertical,515,0.3214411437511444,"[0.3974528908729553, 0.6034430861473083, 0.6382924318313599, 0.9041398763656616]",D00,16685.49356325593,"(482.4265480041504, 186.43415808677673)",108.25084447860718,154.1373062133789,230400,252,Grieta Vertical
,,,416,977,,Grieta Vertical,516,0.37318700551986694,"[0.3566318154335022, 0.6266239285469055, 0.4213721752166748, 0.9380686283111572]",D00,4645.5648572850805,"(500.7016181945801, 140.04071831703186)",112.12009191513062,41.43383026123047,230400,252,Grieta Vertical
,,,416,977,,Grieta Vertical,517,0.2498970478773117,"[0.1988382786512375, 0.7698620557785034, 0.23042821884155273, 0.8404776453971863]",D00,513.9630149893719,"(515.3087043762207, 77.26796954870224)",25.42161226272583,20.217561721801758,230400,252,Grieta Vertical
,,,417,979,,Grieta Vertical,518,0.204370379447937,"[0.30342403054237366, 0.6871985793113708, 0.343280553817749, 0.9438917636871338]",D00,2357.198871022729,"(521.9489097595215, 116.40682518482208)",92.40954637527466,25.508174896240234,230400,253,Grieta Vertical
,,,418,980,,Grieta Vertical,519,0.23114390671253204,"[0.29059380292892456, 0.7616010904312134, 0.3351212441921234, 0.9483893513679504]",D00,1916.2836443555989,"(547.1969413757324, 112.62870848178864)",67.24377393722534,28.497562408447266,230400,253,Grieta Vertical
,,,419,981,,Desenfoque de paso peatonal,520,0.2815307080745697,"[0.003383731935173273, 0.6546255946159363, 0.5907971262931824, 0.8097718954086304]",D43,20997.507495335067,"(468.6071968078613, 106.95255448110402)",55.85266828536987,375.9445723891258,230400,385,Desenfoque de paso peatonal
,,,420,982,,Desenfoque de paso peatonal,521,0.6550815105438232,"[0.004078388214111328, 0.7292677164077759, 0.7325482368469238, 0.9524634480476379]",D43,37461.04953826871,"(538.1539726257324, 132.59279251098633)",80.35046339035034,466.220703125,230400,385,Desenfoque de paso peatonal
,,,421,983,,Desenfoque de paso peatonal,522,0.3807865381240845,"[0.002158737275749445, 0.8193413019180298, 0.9478753805160522, 0.968497633934021]",D43,32500.13774565872,"(572.1084594726562, 171.0061412025243)",53.696279525756836,605.2586516737938,230400,385,Desenfoque de paso peatonal
,,,422,1000,,Desenfoque de linea blanca,523,0.31855079531669617,"[0.2381872683763504, 0.5817302465438843, 0.36474594473838806, 0.9495024085044861]",D44,10723.912247932116,"(489.9944496154785, 108.52797836065292)",132.39797830581665,80.9975528717041,230400,97,Desenfoque de linea blanca
,,,423,1001,,Desenfoque de linea blanca,524,0.2785438895225525,"[0.2734532356262207, 0.5747137069702148, 0.40168172121047974, 0.9410828351974487]",D44,10823.952033193746,"(485.05489349365234, 121.52429223060608)",131.8928861618042,82.06623077392578,230400,97,Desenfoque de linea blanca
,,,424,1002,,Desenfoque de linea blanca,525,0.2818092703819275,"[0.2750700116157532, 0.5777871608734131, 0.4114321768283844, 0.952540934085846]",D44,11773.955159850402,"(489.7049903869629, 123.57039391994476)",134.91135835647583,87.27178573608398,230400,97,Desenfoque de linea blanca
,,,425,1003,,Desenfoque de linea blanca,526,0.43557208776474,"[0.28067874908447266, 0.581316351890564, 0.41638875007629395, 0.9509037733078003]",D44,11556.105828963337,"(490.31044006347656, 125.47214984893799)",133.05147171020508,86.85440063476562,230400,97,Desenfoque de linea blanca
,,,426,1004,,Desenfoque de linea blanca,527,0.2780314087867737,"[0.27168869972229004, 0.5883029699325562, 0.4127567708492279, 0.9500871300697327]",D44,11758.739013464992,"(492.2848320007324, 123.20018470287323)",130.24229764938354,90.28356552124023,230400,97,Desenfoque de linea blanca
,,,427,1005,,Desenfoque de linea blanca,528,0.5267034769058228,"[0.2633543014526367, 0.5784169435501099, 0.4125872552394867, 0.9489968419075012]",D44,12741.749647696315,"(488.77241134643555, 121.66948020458221)",133.4087634086609,95.50909042358398,230400,97,Desenfoque de linea blanca
,,,428,1006,,Desenfoque de linea blanca,529,0.5640736818313599,"[0.2550148069858551, 0.5913015604019165, 0.4058225154876709, 0.948357880115509]",D44,12406.313176035519,"(492.6910209655762, 118.95071804523468)",128.5402750968933,96.51693344116211,230400,97,Desenfoque de linea blanca
,,,429,1007,,Desenfoque de linea blanca,530,0.5038488507270813,"[0.24751734733581543, 0.6107308864593506, 0.3966401517391205, 0.9504731893539429]",D44,11672.830075870934,"(499.5853042602539, 115.94834983348846)",122.30722904205322,95.43859481811523,230400,97,Desenfoque de linea blanca
,,,430,1008,,Desenfoque de linea blanca,531,0.24293579161167145,"[0.23938831686973572, 0.6797000169754028, 0.3710659444332123, 0.9443081617355347]",D44,8027.820918371435,"(519.6826171875, 109.88176703453064)",95.25893211364746,84.273681640625,230400,97,Desenfoque de linea blanca
,,,431,1013,,Desenfoque de linea blanca,532,0.20545409619808197,"[0.24961194396018982, 0.5257582068443298, 0.43120431900024414, 0.9371534585952759]",D44,17212.317890838996,"(468.1317329406738, 122.54692733287811)",148.10229063034058,116.21912002563477,230400,98,Desenfoque de linea blanca
,,,432,1014,,Desenfoque de linea blanca,533,0.4335158169269562,"[0.24751415848731995, 0.5206162929534912, 0.4281468391418457, 0.949139416217804]",D44,17834.17662205807,"(470.32182693481445, 121.61897957324982)",154.2683243751526,115.60491561889648,230400,98,Desenfoque de linea blanca
,,,432,1014,,Desenfoque de linea blanca,534,0.2217148095369339,"[0.00023679733567405492, 0.5566893815994263, 0.3207229673862457, 0.9199371337890625]",D44,26822.2189544607,"(472.5204849243164, 57.77275764994556)",130.76919078826904,205.11114883236587,230400,98,Desenfoque de linea blanca
,,,433,1015,,Desenfoque de linea blanca,535,0.36375632882118225,"[0.25121569633483887, 0.5144117474555969, 0.4242820739746094, 0.9514623284339905]",D44,17427.1705102743,"(469.07970428466797, 121.58959865570068)",157.33820915222168,110.76248168945312,230400,98,Desenfoque de linea blanca
,,,434,1016,,Desenfoque de linea blanca,536,0.29098761081695557,"[0.2438368797302246, 0.5104504823684692, 0.4186258912086487, 0.9518378973007202]",D44,17775.283953029793,"(467.9322814941406, 119.24329876899719)",158.89946937561035,111.8649673461914,230400,98,Desenfoque de linea blanca
,,,435,1017,,Desenfoque de linea blanca,537,0.2866852283477783,"[0.23934940993785858, 0.5108323097229004, 0.4114615023136139, 0.950233519077301]",D44,17424.290657531106,"(467.54106521606445, 117.14596420526505)",158.18443536758423,110.1517391204834,230400,98,Desenfoque de linea blanca
,,,436,1018,,Desenfoque de linea blanca,538,0.23897917568683624,"[0.00015807151794433594, 0.5239174962043762, 0.3340592682361603, 0.9208012819290161]",D44,30532.60132105265,"(462.31000900268555, 60.15912115573883)",142.87816286087036,213.6967658996582,230400,98,Desenfoque de linea blanca
,,,437,1019,,Desenfoque de linea blanca,539,0.29893794655799866,"[0.00016386508650612086, 0.5249332785606384, 0.3281206488609314, 0.9232349991798401]",D44,30096.173091707842,"(463.4138488769531, 59.09121251053875)",143.3886194229126,209.89234161563218,230400,98,Desenfoque de linea blanca
,,,437,1019,,Desenfoque de linea blanca,540,0.25936415791511536,"[0.21985173225402832, 0.49981871247291565, 0.39979004859924316, 0.9501900672912598]",D44,18671.400188035477,"(464.00280952453613, 111.53552055358887)",162.13368773460388,115.1605224609375,230400,98,Desenfoque de linea blanca
,,,438,1020,,Desenfoque de linea blanca,541,0.4014016091823578,"[9.357929229736328e-05, 0.5161170363426208, 0.3314996659755707, 0.9249581098556519]",D44,31217.45362521801,"(461.14404678344727, 59.68678414821625)",147.18278646469116,212.09989547729492,230400,98,Desenfoque de linea blanca
,,,438,1020,,Desenfoque de linea blanca,542,0.23974169790744781,"[0.2119009792804718, 0.5007761716842651, 0.39530035853385925, 0.950284481048584]",D44,18994.07114649348,"(464.3394088745117, 109.29624080657959)",161.82299137115479,117.37560272216797,230400,98,Desenfoque de linea blanca
,,,439,1021,,Desenfoque de linea blanca,543,0.2993229925632477,"[5.557537224376574e-05, 0.5258995294570923, 0.3159673810005188, 0.9234103560447693]",D44,28933.254831536906,"(463.7791633605957, 56.88413214709726)",143.10389757156372,202.18355560209602,230400,98,Desenfoque de linea blanca
,,,440,1022,,Desenfoque de linea blanca,544,0.20313969254493713,"[0.0001691579818725586, 0.5307084918022156, 0.316638320684433, 0.9201451539993286]",D44,28395.57759234053,"(464.27316665649414, 57.025346159935)",140.1971983909607,202.54026412963867,230400,98,Desenfoque de linea blanca
,,,441,1023,,Desenfoque de linea blanca,545,0.21737825870513916,"[0.00012843609147239476, 0.5353116393089294, 0.31497523188591003, 0.9135719537734985]",D44,27439.268655828317,"(463.64274978637695, 56.71866023592884)",136.17371320724487,201.5019493084401,230400,98,Desenfoque de linea blanca
,,,441,1023,,Desenfoque de linea blanca,546,0.2050699144601822,"[0.20560987293720245, 0.5214162468910217, 0.3906429409980774, 0.9450229406356812]",D44,18059.039123258368,"(469.2605400085449, 107.32550650835037)",152.4984097480774,118.42116355895996,230400,98,Desenfoque de linea blanca
,,,442,1024,,Desenfoque de linea blanca,547,0.20429198443889618,"[0.00012009144120384008, 0.5285446047782898, 0.32445481419563293, 0.9093254804611206]",D44,28454.505925197234,"(460.1184272766113, 58.42348301463062)",137.0811152458191,207.57422256283462,230400,98,Desenfoque de linea blanca
,,,443,1026,,Desenfoque de linea blanca,548,0.2816818356513977,"[0.20521077513694763, 0.5373854637145996, 0.38683590292930603, 0.9483768939971924]",D44,17198.523889145872,"(475.44395446777344, 106.56840205192566)",147.9569149017334,116.24008178710938,230400,99,Desenfoque de linea blanca
,,,443,1026,,Desenfoque de linea blanca,549,0.26740700006484985,"[6.594658043468371e-05, 0.5320681929588318, 0.32186776399612427, 0.9094266891479492]",D44,27978.543334865564,"(461.2783622741699, 57.94806790378061)",135.84905862808228,205.95316314604133,230400,99,Desenfoque de linea blanca
,,,444,1027,,Desenfoque de linea blanca,550,0.3848937451839447,"[0.2103099375963211, 0.5401663184165955, 0.3826811909675598, 0.9485965967178345]",D44,16220.537622270353,"(476.4041328430176, 106.73840314149857)",147.03490018844604,110.31760215759277,230400,99,Desenfoque de linea blanca
,,,444,1027,,Desenfoque de linea blanca,551,0.30668333172798157,"[0.0006333589553833008, 0.5386759638786316, 0.3139704465866089, 0.909998893737793]",D44,26806.866143100706,"(463.57595443725586, 56.628684997558594)",133.6762547492981,200.53573608398438,230400,99,Desenfoque de linea blanca
